instance,scenario,idle_ratio,machine,processing_power,idle_power
mk03,independent,0.05,2,2.0,0.1
mk03,independent,0.05,3,2.75,0.1375
mk03,independent,0.05,4,3.5,0.17500000000000002
mk03,independent,0.05,5,4.25,0.21250000000000002
mk03,independent,0.05,6,5.0,0.25
mk03,independent,0.05,7,5.75,0.28750000000000003
mk03,independent,0.05,8,2.25,0.1125
mk03,independent,0.15,1,5.5,0.825
mk03,independent,0.15,2,2.0,0.3
mk03,independent,0.15,3,2.75,0.4125
mk03,independent,0.15,4,3.5,0.525
mk03,independent,0.15,5,4.25,0.6375
mk03,independent,0.15,6,5.0,0.75
mk03,independent,0.15,7,5.75,0.8624999999999999
mk03,independent,0.15,8,2.25,0.33749999999999997
mk03,independent,0.3,1,5.5,1.65
mk03,independent,0.3,2,2.0,0.6
mk03,independent,0.3,3,2.75,0.825
mk03,independent,0.3,4,3.5,1.05
mk03,independent,0.3,5,4.25,1.275
mk03,independent,0.3,6,5.0,1.5
mk03,independent,0.3,7,5.75,1.7249999999999999
mk03,independent,0.3,8,2.25,0.6749999999999999
mk03,speed,0.05,1,3.197673815791622,0.1598836907895811
mk03,speed,0.05,2,4.803889576136449,0.24019447880682243
mk03,speed,0.05,3,2.0,0.1
mk03,speed,0.05,4,5.057952494781114,0.2528976247390557
mk03,speed,0.05,5,6.0,0.30000000000000004
mk03,speed,0.05,6,3.429176593776664,0.1714588296888332
mk03,speed,0.05,7,4.235916969541433,0.21179584847707167
mk03,speed,0.05,8,2.8129107717950195,0.14064553858975098
mk03,speed,0.15,1,3.197673815791622,0.47965107236874327
mk03,speed,0.15,2,4.803889576136449,0.7205834364204673
mk03,speed,0.15,3,2.0,0.3
mk03,speed,0.15,4,5.057952494781114,0.7586928742171671
mk03,speed,0.15,5,6.0,0.8999999999999999
mk03,speed,0.15,6,3.429176593776664,0.5143764890664996
mk03,speed,0.15,7,4.235916969541433,0.635387545431215
mk03,speed,0.15,8,2.8129107717950195,0.4219366157692529
mk03,speed,0.3,1,3.197673815791622,0.9593021447374865
mk03,speed,0.3,2,4.803889576136449,1.4411668728409346
mk03,speed,0.3,3,2.0,0.6
mk03,speed,0.3,4,5.057952494781114,1.5173857484343343
mk03,speed,0.3,5,6.0,1.7999999999999998
mk03,speed,0.3,6,3.429176593776664,1.0287529781329992
mk03,speed,0.3,7,4.235916969541433,1.27077509086243
mk03,speed,0.3,8,2.8129107717950195,0.8438732315385058
mk04,independent,0.05,1,5.5,0.275
mk04,independent,0.05,2,2.0,0.1
mk04,independent,0.05,3,2.75,0.1375
mk04,independent,0.05,4,3.5,0.17500000000000002
mk04,independent,0.05,5,4.25,0.21250000000000002
mk04,independent,0.05,6,5.0,0.25
mk04,independent,0.05,7,5.75,0.28750000000000003
mk04,independent,0.05,8,2.25,0.1125
mk04,independent,0.15,1,5.5,0.825
mk04,independent,0.15,2,2.0,0.3
mk04,independent,0.15,3,2.75,0.4125
mk04,independent,0.15,4,3.5,0.525
mk04,independent,0.15,5,4.25,0.6375
mk04,independent,0.15,6,5.0,0.75
mk04,independent,0.15,7,5.75,0.8624999999999999
mk04,independent,0.15,8,2.25,0.33749999999999997
mk04,independent,0.3,1,5.5,1.65
mk04,independent,0.3,2,2.0,0.6
mk04,independent,0.3,3,2.75,0.825
mk04,independent,0.3,4,3.5,1.05
mk04,independent,0.3,5,4.25,1.275
mk04,independent,0.3,6,5.0,1.5
mk04,independent,0.3,7,5.75,1.7249999999999999
mk04,independent,0.3,8,2.25,0.6749999999999999
mk04,speed,0.05,1,2.6808510638297873,0.13404255319148936
mk04,speed,0.05,2,6.0,0.30000000000000004
mk04,speed,0.05,3,4.367647058823529,0.21838235294117647
mk04,speed,0.05,4,3.375,0.16875
mk04,speed,0.05,5,3.0,0.15000000000000002
mk04,speed,0.05,6,5.090909090909091,0.2545454545454546
mk04,speed,0.05,7,3.763636363636364,0.18818181818181823
mk04,speed,0.05,8,2.0,0.1
mk04,speed,0.15,1,2.6808510638297873,0.4021276595744681
mk04,speed,0.15,2,6.0,0.8999999999999999
mk04,speed,0.15,3,4.367647058823529,0.6551470588235293
mk04,speed,0.15,4,3.375,0.50625
mk04,speed,0.15,5,3.0,0.44999999999999996
mk04,speed,0.15,6,5.090909090909091,0.7636363636363636
mk04,speed,0.15,7,3.763636363636364,0.5645454545454546
mk04,speed,0.15,8,2.0,0.3
mk04,speed,0.3,1,2.6808510638297873,0.8042553191489362
mk04,speed,0.3,2,6.0,1.7999999999999998
mk04,speed,0.3,3,4.367647058823529,1.3102941176470586
mk04,speed,0.3,4,3.375,1.0125
mk04,speed,0.3,5,3.0,0.8999999999999999
mk04,speed,0.3,6,5.090909090909091,1.5272727272727271
mk04,speed,0.3,7,3.763636363636364,1.1290909090909091
mk04,speed,0.3,8,2.0,0.6
mk05,independent,0.05,1,5.5,0.275
mk05,independent,0.05,2,2.0,0.1
mk05,independent,0.05,3,2.75,0.1375
mk05,independent,0.05,4,3.5,0.17500000000000002
mk05,independent,0.15,1,5.5,0.825
mk05,independent,0.15,2,2.0,0.3
mk05,independent,0.15,3,2.75,0.4125
mk05,independent,0.15,4,3.5,0.525
mk05,independent,0.3,1,5.5,1.65
mk05,independent,0.3,2,2.0,0.6
mk05,independent,0.3,3,2.75,0.825
mk05,independent,0.3,4,3.5,1.05
mk05,speed,0.05,1,3.0491327900444833,0.15245663950222418
mk05,speed,0.05,2,6.0,0.30000000000000004
mk05,speed,0.05,3,2.0,0.1
mk05,speed,0.05,4,2.7651539338654527,0.13825769669327265
mk05,speed,0.15,1,3.0491327900444833,0.45736991850667247
mk05,speed,0.15,2,6.0,0.8999999999999999
mk05,speed,0.15,3,2.0,0.3
mk05,speed,0.15,4,2.7651539338654527,0.4147730900798179
mk05,speed,0.3,1,3.0491327900444833,0.9147398370133449
mk05,speed,0.3,2,6.0,1.7999999999999998
mk05,speed,0.3,3,2.0,0.6
mk05,speed,0.3,4,2.7651539338654527,0.8295461801596358
mk06,independent,0.05,1,5.5,0.275
mk06,independent,0.05,2,2.0,0.1
mk06,independent,0.05,3,2.75,0.1375
mk06,independent,0.05,4,3.5,0.17500000000000002
mk06,independent,0.05,5,4.25,0.21250000000000002
mk06,independent,0.05,6,5.0,0.25
mk06,independent,0.05,7,5.75,0.28750000000000003
mk06,independent,0.05,8,2.25,0.1125
mk06,independent,0.05,9,3.0,0.15000000000000002
mk06,independent,0.05,10,3.75,0.1875
mk06,independent,0.15,1,5.5,0.825
mk06,independent,0.15,2,2.0,0.3
mk06,independent,0.15,3,2.75,0.4125
mk06,independent,0.15,4,3.5,0.525
mk06,independent,0.15,5,4.25,0.6375
mk06,independent,0.15,6,5.0,0.75
mk06,independent,0.15,7,5.75,0.8624999999999999
mk06,independent,0.15,8,2.25,0.33749999999999997
mk06,independent,0.15,9,3.0,0.44999999999999996
mk06,independent,0.15,10,3.75,0.5625
mk06,independent,0.3,1,5.5,1.65
mk06,independent,0.3,2,2.0,0.6
mk06,independent,0.3,3,2.75,0.825
mk06,independent,0.3,4,3.5,1.05
mk06,independent,0.3,5,4.25,1.275
mk06,independent,0.3,6,5.0,1.5
mk06,independent,0.3,7,5.75,1.7249999999999999
mk06,independent,0.3,8,2.25,0.6749999999999999
mk06,independent,0.3,9,3.0,0.8999999999999999
mk06,independent,0.3,10,3.75,1.125
mk06,speed,0.05,1,4.354838709677418,0.2177419354838709
mk06,speed,0.05,2,2.884615384615384,0.14423076923076922
mk06,speed,0.05,3,2.0,0.1
mk06,speed,0.05,4,2.8571428571428568,0.14285714285714285
mk06,speed,0.05,5,2.0930232558139537,0.1046511627906977
mk06,speed,0.05,6,6.0,0.30000000000000004
mk06,speed,0.05,7,3.333333333333333,0.16666666666666666
mk06,speed,0.05,8,2.368421052631579,0.11842105263157897
mk06,speed,0.05,9,4.285714285714285,0.21428571428571425
mk06,speed,0.05,10,2.8571428571428568,0.14285714285714285
mk06,speed,0.15,1,4.354838709677418,0.6532258064516127
mk06,speed,0.15,2,2.884615384615384,0.4326923076923076
mk06,speed,0.15,3,2.0,0.3
mk06,speed,0.15,4,2.8571428571428568,0.4285714285714285
mk06,speed,0.15,5,2.0930232558139537,0.313953488372093
mk06,speed,0.15,6,6.0,0.8999999999999999
mk06,speed,0.15,7,3.333333333333333,0.49999999999999994
mk06,speed,0.15,8,2.368421052631579,0.3552631578947369
mk06,speed,0.15,9,4.285714285714285,0.6428571428571427
mk06,speed,0.15,10,2.8571428571428568,0.4285714285714285
mk06,speed,0.3,1,4.354838709677418,1.3064516129032253
mk06,speed,0.3,2,2.884615384615384,0.8653846153846152
mk06,speed,0.3,3,2.0,0.6
mk06,speed,0.3,4,2.8571428571428568,0.857142857142857
mk06,speed,0.3,5,2.0930232558139537,0.627906976744186
mk06,speed,0.3,6,6.0,1.7999999999999998
mk06,speed,0.3,7,3.333333333333333,0.9999999999999999
mk06,speed,0.3,8,2.368421052631579,0.7105263157894738
mk06,speed,0.3,9,4.285714285714285,1.2857142857142854
mk06,speed,0.3,10,2.8571428571428568,0.857142857142857
mk07,independent,0.05,1,5.5,0.275
mk07,independent,0.05,2,2.0,0.1
mk07,independent,0.05,3,2.75,0.1375
mk07,independent,0.05,4,3.5,0.17500000000000002
mk07,independent,0.05,5,4.25,0.21250000000000002
mk07,independent,0.15,1,5.5,0.825
mk07,independent,0.15,2,2.0,0.3
mk07,independent,0.15,3,2.75,0.4125
mk07,independent,0.15,4,3.5,0.525
mk07,independent,0.15,5,4.25,0.6375
mk07,independent,0.3,1,5.5,1.65
mk07,independent,0.3,2,2.0,0.6
mk07,independent,0.3,3,2.75,0.825
mk07,independent,0.3,4,3.5,1.05
mk07,independent,0.3,5,4.25,1.275
mk07,speed,0.05,1,4.557217092282159,0.227860854614108
mk07,speed,0.05,2,4.010969176316858,0.20054845881584293
mk07,speed,0.05,3,2.0,0.1
mk07,speed,0.05,4,2.1342208679323766,0.10671104339661884
mk07,speed,0.05,5,6.0,0.30000000000000004
mk07,speed,0.15,1,4.557217092282159,0.6835825638423239
mk07,speed,0.15,2,4.010969176316858,0.6016453764475287
mk07,speed,0.15,3,2.0,0.3
mk07,speed,0.15,4,2.1342208679323766,0.3201331301898565
mk07,speed,0.15,5,6.0,0.8999999999999999
mk07,speed,0.3,1,4.557217092282159,1.3671651276846477
mk07,speed,0.3,2,4.010969176316858,1.2032907528950574
mk07,speed,0.3,3,2.0,0.6
mk07,speed,0.3,4,2.1342208679323766,0.640266260379713
mk07,speed,0.3,5,6.0,1.7999999999999998
mk08,independent,0.05,1,5.5,0.275
mk08,independent,0.05,2,2.0,0.1
mk08,independent,0.05,3,2.75,0.1375
mk08,independent,0.05,4,3.5,0.17500000000000002
mk08,independent,0.05,5,4.25,0.21250000000000002
mk08,independent,0.05,6,5.0,0.25
mk08,independent,0.05,7,5.75,0.28750000000000003
mk08,independent,0.05,8,2.25,0.1125
mk08,independent,0.05,9,3.0,0.15000000000000002
mk08,independent,0.05,10,3.75,0.1875
mk08,independent,0.15,1,5.5,0.825
mk08,independent,0.15,2,2.0,0.3
mk08,independent,0.15,3,2.75,0.4125
mk08,independent,0.15,4,3.5,0.525
mk08,independent,0.15,5,4.25,0.6375
mk08,independent,0.15,6,5.0,0.75
mk08,independent,0.15,7,5.75,0.8624999999999999
mk08,independent,0.15,8,2.25,0.33749999999999997
mk08,independent,0.15,9,3.0,0.44999999999999996
mk08,independent,0.15,10,3.75,0.5625
mk08,independent,0.3,1,5.5,1.65
mk08,independent,0.3,2,2.0,0.6
mk08,independent,0.3,3,2.75,0.825
mk08,independent,0.3,4,3.5,1.05
mk08,independent,0.3,5,4.25,1.275
mk08,independent,0.3,6,5.0,1.5
mk08,independent,0.3,7,5.75,1.7249999999999999
mk08,independent,0.3,8,2.25,0.6749999999999999
mk08,independent,0.3,9,3.0,0.8999999999999999
mk08,independent,0.3,10,3.75,1.125
mk08,speed,0.05,1,2.056722017479839,0.10283610087399196
mk08,speed,0.05,2,2.562776025236593,0.12813880126182967
mk08,speed,0.05,3,2.0415846739768826,0.10207923369884414
mk08,speed,0.05,4,2.1650806893135544,0.10825403446567772
mk08,speed,0.05,5,2.1295721771775686,0.10647860885887844
mk08,speed,0.05,6,6.0,0.30000000000000004
mk08,speed,0.05,7,2.036886819221204,0.10184434096106021
mk08,speed,0.05,8,2.0,0.1
mk08,speed,0.05,9,2.2931898311375023,0.11465949155687512
mk08,speed,0.05,10,2.006042564535478,0.1003021282267739
mk08,speed,0.15,1,2.056722017479839,0.30850830262197587
mk08,speed,0.15,2,2.562776025236593,0.38441640378548897
mk08,speed,0.15,3,2.0415846739768826,0.30623770109653237
mk08,speed,0.15,4,2.1650806893135544,0.32476210339703315
mk08,speed,0.15,5,2.1295721771775686,0.3194358265766353
mk08,speed,0.15,6,6.0,0.8999999999999999
mk08,speed,0.15,7,2.036886819221204,0.3055330228831806
mk08,speed,0.15,8,2.0,0.3
mk08,speed,0.15,9,2.2931898311375023,0.3439784746706253
mk08,speed,0.15,10,2.006042564535478,0.30090638468032166
mk08,speed,0.3,1,2.056722017479839,0.6170166052439517
mk08,speed,0.3,2,2.562776025236593,0.7688328075709779
mk08,speed,0.3,3,2.0415846739768826,0.6124754021930647
mk08,speed,0.3,4,2.1650806893135544,0.6495242067940663
mk08,speed,0.3,5,2.1295721771775686,0.6388716531532705
mk08,speed,0.3,6,6.0,1.7999999999999998
mk08,speed,0.3,7,2.036886819221204,0.6110660457663613
mk08,speed,0.3,8,2.0,0.6
mk08,speed,0.3,9,2.2931898311375023,0.6879569493412506
mk08,speed,0.3,10,2.006042564535478,0.6018127693606433
mk09,independent,0.05,1,5.5,0.275
mk09,independent,0.05,2,2.0,0.1
mk09,independent,0.05,3,2.75,0.1375
mk09,independent,0.05,4,3.5,0.17500000000000002
mk09,independent,0.05,5,4.25,0.21250000000000002
mk09,independent,0.05,6,5.0,0.25
mk09,independent,0.05,7,5.75,0.28750000000000003
mk09,independent,0.05,8,2.25,0.1125
mk09,independent,0.05,9,3.0,0.15000000000000002
mk09,independent,0.05,10,3.75,0.1875
mk09,independent,0.15,1,5.5,0.825
mk09,independent,0.15,2,2.0,0.3
mk09,independent,0.15,3,2.75,0.4125
mk09,independent,0.15,4,3.5,0.525
mk09,independent,0.15,5,4.25,0.6375
mk09,independent,0.15,6,5.0,0.75
mk09,independent,0.15,7,5.75,0.8624999999999999
mk09,independent,0.15,8,2.25,0.33749999999999997
mk09,independent,0.15,9,3.0,0.44999999999999996
mk09,independent,0.15,10,3.75,0.5625
mk09,independent,0.3,1,5.5,1.65
mk09,independent,0.3,2,2.0,0.6
mk09,independent,0.3,3,2.75,0.825
mk09,independent,0.3,4,3.5,1.05
mk09,independent,0.3,5,4.25,1.275
mk09,independent,0.3,6,5.0,1.5
mk09,independent,0.3,7,5.75,1.7249999999999999
mk09,independent,0.3,8,2.25,0.6749999999999999
mk09,independent,0.3,9,3.0,0.8999999999999999
mk09,independent,0.3,10,3.75,1.125
mk09,speed,0.05,1,3.652950546621846,0.18264752733109232
mk09,speed,0.05,2,6.0,0.30000000000000004
mk09,speed,0.05,3,3.9082092903101673,0.19541046451550836
mk09,speed,0.05,4,4.73200608939691,0.23660030446984548
mk09,speed,0.05,5,5.5291180641088005,0.27645590320544006
mk09,speed,0.05,6,2.901304330749428,0.1450652165374714
mk09,speed,0.05,7,4.753155323990441,0.23765776619952206
mk09,speed,0.05,8,2.0,0.1
mk09,speed,0.05,9,3.963087323603224,0.19815436618016122
mk09,speed,0.05,10,2.6139724484859115,0.13069862242429559
mk09,speed,0.15,1,3.652950546621846,0.547942581993277
mk09,speed,0.15,2,6.0,0.8999999999999999
mk09,speed,0.15,3,3.9082092903101673,0.5862313935465251
mk09,speed,0.15,4,4.73200608939691,0.7098009134095364
mk09,speed,0.15,5,5.5291180641088005,0.82936770961632
mk09,speed,0.15,6,2.901304330749428,0.4351956496124142
mk09,speed,0.15,7,4.753155323990441,0.7129732985985662
mk09,speed,0.15,8,2.0,0.3
mk09,speed,0.15,9,3.963087323603224,0.5944630985404836
mk09,speed,0.15,10,2.6139724484859115,0.3920958672728867
mk09,speed,0.3,1,3.652950546621846,1.095885163986554
mk09,speed,0.3,2,6.0,1.7999999999999998
mk09,speed,0.3,3,3.9082092903101673,1.1724627870930502
mk09,speed,0.3,4,4.73200608939691,1.4196018268190729
mk09,speed,0.3,5,5.5291180641088005,1.65873541923264
mk09,speed,0.3,6,2.901304330749428,0.8703912992248284
mk09,speed,0.3,7,4.753155323990441,1.4259465971971323
mk09,speed,0.3,8,2.0,0.6
mk09,speed,0.3,9,3.963087323603224,1.1889261970809673
mk09,speed,0.3,10,2.6139724484859115,0.7841917345457734
mk10,independent,0.05,1,5.5,0.275
mk10,independent,0.05,2,2.0,0.1
mk10,independent,0.05,3,2.75,0.1375
mk10,independent,0.05,4,3.5,0.17500000000000002
mk10,independent,0.05,5,4.25,0.21250000000000002
mk10,independent,0.05,6,5.0,0.25
mk10,independent,0.05,7,5.75,0.28750000000000003
mk10,independent,0.05,8,2.25,0.1125
mk10,independent,0.05,9,3.0,0.15000000000000002
mk10,independent,0.05,10,3.75,0.1875
mk10,independent,0.05,11,4.5,0.225
mk10,independent,0.05,12,5.25,0.2625
mk10,independent,0.05,13,6.0,0.30000000000000004
mk10,independent,0.05,14,2.5,0.125
mk10,independent,0.05,15,3.25,0.1625
mk10,independent,0.15,1,5.5,0.825
mk10,independent,0.15,2,2.0,0.3
mk10,independent,0.15,3,2.75,0.4125
mk10,independent,0.15,4,3.5,0.525
mk10,independent,0.15,5,4.25,0.6375
mk10,independent,0.15,6,5.0,0.75
mk10,independent,0.15,7,5.75,0.8624999999999999
mk10,independent,0.15,8,2.25,0.33749999999999997
mk10,independent,0.15,9,3.0,0.44999999999999996
mk10,independent,0.15,10,3.75,0.5625
mk10,independent,0.15,11,4.5,0.6749999999999999
mk10,independent,0.15,12,5.25,0.7875
mk10,independent,0.15,13,6.0,0.8999999999999999
mk10,independent,0.15,14,2.5,0.375
mk10,independent,0.15,15,3.25,0.4875
mk10,independent,0.3,1,5.5,1.65
mk10,independent,0.3,2,2.0,0.6
mk10,independent,0.3,3,2.75,0.825
mk10,independent,0.3,4,3.5,1.05
mk10,independent,0.3,5,4.25,1.275
mk10,independent,0.3,6,5.0,1.5
mk10,independent,0.3,7,5.75,1.7249999999999999
mk10,independent,0.3,8,2.25,0.6749999999999999
mk10,independent,0.3,9,3.0,0.8999999999999999
mk10,independent,0.3,10,3.75,1.125
mk10,independent,0.3,11,4.5,1.3499999999999999
mk10,independent,0.3,12,5.25,1.575
mk10,independent,0.3,13,6.0,1.7999999999999998
mk10,independent,0.3,14,2.5,0.75
mk10,independent,0.3,15,3.25,0.975
mk10,speed,0.05,1,2.0040640317676988,0.10020320158838494
mk10,speed,0.05,2,2.037805782060786,0.10189028910303931
mk10,speed,0.05,3,2.0330715858573267,0.10165357929286634
mk10,speed,0.05,4,2.0809014084507043,0.10404507042253522
mk10,speed,0.05,5,2.0474425500370645,0.10237212750185323
mk10,speed,0.05,6,2.0336377237785688,0.10168188618892844
mk10,speed,0.05,7,2.0340888774111523,0.10170444387055762
mk10,speed,0.05,8,2.0225737989581325,0.10112868994790664
mk10,speed,0.05,9,2.0220419645093544,0.10110209822546773
mk10,speed,0.05,10,2.0,0.1
mk10,speed,0.05,11,6.0,0.30000000000000004
mk10,speed,0.05,12,6.0,0.30000000000000004
mk10,speed,0.05,13,2.030729833546735,0.10153649167733676
mk10,speed,0.05,14,6.0,0.30000000000000004
mk10,speed,0.05,15,6.0,0.30000000000000004
mk10,speed,0.15,1,2.0040640317676988,0.3006096047651548
mk10,speed,0.15,2,2.037805782060786,0.3056708673091179
mk10,speed,0.15,3,2.0330715858573267,0.304960737878599
mk10,speed,0.15,4,2.0809014084507043,0.31213521126760563
mk10,speed,0.15,5,2.0474425500370645,0.30711638250555967
mk10,speed,0.15,6,2.0336377237785688,0.3050456585667853
mk10,speed,0.15,7,2.0340888774111523,0.3051133316116728
mk10,speed,0.15,8,2.0225737989581325,0.30338606984371985
mk10,speed,0.15,9,2.0220419645093544,0.30330629467640313
mk10,speed,0.15,10,2.0,0.3
mk10,speed,0.15,11,6.0,0.8999999999999999
mk10,speed,0.15,12,6.0,0.8999999999999999
mk10,speed,0.15,13,2.030729833546735,0.30460947503201025
mk10,speed,0.15,14,6.0,0.8999999999999999
mk10,speed,0.15,15,6.0,0.8999999999999999
mk10,speed,0.3,1,2.0040640317676988,0.6012192095303096
mk10,speed,0.3,2,2.037805782060786,0.6113417346182358
mk10,speed,0.3,3,2.0330715858573267,0.609921475757198
mk10,speed,0.3,4,2.0809014084507043,0.6242704225352113
mk10,speed,0.3,5,2.0474425500370645,0.6142327650111193
mk10,speed,0.3,6,2.0336377237785688,0.6100913171335706
mk10,speed,0.3,7,2.0340888774111523,0.6102266632233456
mk10,speed,0.3,8,2.0225737989581325,0.6067721396874397
mk10,speed,0.3,9,2.0220419645093544,0.6066125893528063
mk10,speed,0.3,10,2.0,0.6
mk10,speed,0.3,11,6.0,1.7999999999999998
mk10,speed,0.3,12,6.0,1.7999999999999998
mk10,speed,0.3,13,2.030729833546735,0.6092189500640205
mk10,speed,0.3,14,6.0,1.7999999999999998
mk10,speed,0.3,15,6.0,1.7999999999999998
mk11,independent,0.05,1,5.5,0.275
mk11,independent,0.05,2,2.0,0.1
mk11,independent,0.05,3,2.75,0.1375
mk11,independent,0.05,4,3.5,0.17500000000000002
mk11,independent,0.05,5,4.25,0.21250000000000002
mk11,independent,0.15,1,5.5,0.825
mk11,independent,0.15,2,2.0,0.3
mk11,independent,0.15,3,2.75,0.4125
mk11,independent,0.15,4,3.5,0.525
mk11,independent,0.15,5,4.25,0.6375
mk11,independent,0.3,1,5.5,1.65
mk11,independent,0.3,2,2.0,0.6
mk11,independent,0.3,3,2.75,0.825
mk11,independent,0.3,4,3.5,1.05
mk11,independent,0.3,5,4.25,1.275
mk11,speed,0.05,1,2.3216638589370735,0.11608319294685368
mk11,speed,0.05,2,6.0,0.30000000000000004
mk11,speed,0.05,3,5.029069830435018,0.25145349152175095
mk11,speed,0.05,4,3.9645529074817283,0.19822764537408644
mk11,speed,0.05,5,2.0,0.1
mk11,speed,0.15,1,2.3216638589370735,0.348249578840561
mk11,speed,0.15,2,6.0,0.8999999999999999
mk11,speed,0.15,3,5.029069830435018,0.7543604745652527
mk11,speed,0.15,4,3.9645529074817283,0.5946829361222592
mk11,speed,0.15,5,2.0,0.3
mk11,speed,0.3,1,2.3216638589370735,0.696499157681122
mk11,speed,0.3,2,6.0,1.7999999999999998
mk11,speed,0.3,3,5.029069830435018,1.5087209491305054
mk11,speed,0.3,4,3.9645529074817283,1.1893658722445184
mk11,speed,0.3,5,2.0,0.6
mk12,independent,0.05,1,5.5,0.275
mk12,independent,0.05,2,2.0,0.1
mk12,independent,0.05,3,2.75,0.1375
mk12,independent,0.05,4,3.5,0.17500000000000002
mk12,independent,0.05,5,4.25,0.21250000000000002
mk12,independent,0.05,6,5.0,0.25
mk12,independent,0.05,7,5.75,0.28750000000000003
mk12,independent,0.05,8,2.25,0.1125
mk12,independent,0.05,9,3.0,0.15000000000000002
mk12,independent,0.05,10,3.75,0.1875
mk12,independent,0.15,1,5.5,0.825
mk12,independent,0.15,2,2.0,0.3
mk12,independent,0.15,3,2.75,0.4125
mk12,independent,0.15,4,3.5,0.525
mk12,independent,0.15,5,4.25,0.6375
mk12,independent,0.15,6,5.0,0.75
mk12,independent,0.15,7,5.75,0.8624999999999999
mk12,independent,0.15,8,2.25,0.33749999999999997
mk12,independent,0.15,9,3.0,0.44999999999999996
mk12,independent,0.15,10,3.75,0.5625
mk12,independent,0.3,1,5.5,1.65
mk12,independent,0.3,2,2.0,0.6
mk12,independent,0.3,3,2.75,0.825
mk12,independent,0.3,4,3.5,1.05
mk12,independent,0.3,5,4.25,1.275
mk12,independent,0.3,6,5.0,1.5
mk12,independent,0.3,7,5.75,1.7249999999999999
mk12,independent,0.3,8,2.25,0.6749999999999999
mk12,independent,0.3,9,3.0,0.8999999999999999
